24,20,44,Ca,-41468.658,0.325,8658.175,0.007,955481.561
23,21,44,Sc,-37815.978,1.756,8557.379,0.04,959402.875
22,22,44,Ti,-37548.57,0.7,8533.52,0.016,959689.949
21,23,44,V,-24116.38,181.641,8210.463,4.128,974110
29,16,45,S,-3989.589,690.237,7881.807,15.339,995717
28,17,45,Cl,-18359.747,99.67,8183.758,2.215,980290
27,18,45,Ar,-29770.796,0.512,8419.952,0.011,968039.733
26,19,45,K,-36615.638,0.522,8554.674,0.012,960691.493
25,20,45,Ca,-40812.152,0.366,8630.544,0.008,956186.35
24,21,45,Sc,-41071.177,0.721,8618.915,0.016,955908.275
23,22,45,Ti,-39009.121,0.882,8555.706,0.02,958121.983
22,23,45,V,-31880.549,7.981,8379.908,0.177,965774.82
21,24,45,Cr,-19514.799,35.397,8087.728,0.787,979050
29,17,46,Cl,-13810.33,160.217,8082.414,3.483,985174
28,18,46,Ar,-29730.762,40.687,8411.502,0.884,968082.712
27,19,46,K,-35413.924,0.727,8518.042,0.016,961981.586
26,20,46,Ca,-43138.396,2.261,8668.958,0.049,953689.023
25,21,46,Sc,-41760.499,0.728,8621.996,0.016,955168.257
24,22,46,Ti,-44126.996,0.327,8656.434,0.007,952627.718
23,23,46,V,-37074.602,0.332,8486.113,0.007,960198.775
22,24,46,Cr,-29473.531,19.994,8303.865,0.435,968358.861
29,18,47,Ar,-25211.011,89.752,8308.1,1.91,972934.865
28,19,47,K,-35711.976,1.397,8514.879,0.03,961661.614
27,20,47,Ca,-42343.453,2.248,8639.328,0.048,954542.43
26,21,47,Sc,-44335.63,1.962,8665.069,0.042,952403.74
25,22,47,Ti,-44936.4,0.357,8661.206,0.008,951758.787
24,23,47,V,-42005.801,0.333,8582.207,0.007,954904.914
23,24,47,Cr,-34560.887,6.956,8407.159,0.148,962897.359
22,25,47,Mn,-22565.442,31.671,8135.291,0.674,975775
29,19,48,K,-32284.477,0.773,8434.232,0.016,965341.186
28,20,48,Ca,-44224.759,0.12,8666.689,0.003,952522.765
27,21,48,Sc,-44503.42,4.953,8656.195,0.103,952223.611
26,22,48,Ti,-48491.734,0.358,8722.986,0.007,947941.979
25,23,48,V,-44476.768,1.027,8623.042,0.021,952252.223
24,24,48,Cr,-42821.654,7.363,8572.262,0.153,954029.061
23,25,48,Mn,-29323.431,167.669,8274.75,3.493,968520
30,19,49,K,-29611.491,0.801,8372.274,0.016,968210.755
29,20,49,Ca,-41299.895,0.214,8594.847,0.004,955662.736
28,21,49,Sc,-46561.073,2.7,8686.252,0.055,950014.629
27,22,49,Ti,-48562.809,0.36,8711.137,0.007,947865.676
26,23,49,V,-47960.953,0.896,8682.888,0.018,948511.795
25,24,49,Cr,-45332.693,2.369,8613.284,0.048,951333.349
24,25,49,Mn,-37636.738,10.133,8440.257,0.207,959595.297
23,26,49,Fe,-24750.727,24.219,8161.311,0.494,973429
31,19,50,K,-25727.848,7.731,8288.582,0.155,972380.017
30,20,50,Ca,-39589.224,1.584,8550.163,0.032,957499.217
29,21,50,Sc,-44547.514,15,8633.682,0.3,952176.274
28,22,50,Ti,-51430.681,0.362,8755.698,0.007,944786.889
27,23,50,V,-49223.856,0.881,8695.915,0.018,947156.014
26,24,50,Cr,-50261.709,0.879,8701.025,0.018,946041.833
25,25,50,Mn,-42627.232,0.882,8532.689,0.018,954237.781
24,26,50,Fe,-34488.631,60.002,8354.27,1.2,962974.929
32,19,51,K,-22516.039,13.07,8221.346,0.256,975828.036
31,20,51,Ca,-36338.529,22.36,8477.035,0.438,960988.981
30,21,51,Sc,-43228.814,20,8596.798,0.392,953591.956
29,22,51,Ti,-49731.858,0.609,8708.969,0.012,946610.651
28,23,51,V,-52203.685,0.877,8742.096,0.017,943957.036
27,24,51,Cr,-51451.054,0.879,8711.998,0.017,944765.018
26,25,51,Mn,-48243.495,0.88,8633.765,0.017,948208.475
25,26,51,Fe,-40202.33,8.965,8460.755,0.176,956841.021
24,27,51,Co,-27342.143,48.438,8193.254,0.95,970647
32,20,52,Ca,-34263.009,59.809,8429.319,1.15,963217.145
31,21,52,Sc,-40166.506,141.95,8527.802,2.73,956879.479
30,22,52,Ti,-49468.845,7.08,8691.648,0.136,946893.006
29,23,52,V,-51443.612,0.886,8714.579,0.017,944773.007
28,24,52,Cr,-55418.089,0.588,8775.967,0.011,940506.231
27,25,52,Mn,-50706.854,1.901,8670.321,0.037,945563.949
26,26,52,Fe,-48332.293,6.53,8609.611,0.126,948113.146
32,21,53,Sc,-38107.42,270.133,8480.339,5.097,959090
31,22,53,Ti,-46829.991,100.05,8630.154,1.888,949725.933
30,23,53,V,-51849.991,3.152,8710.11,0.059,944336.741
29,24,53,Cr,-55285.894,0.578,8760.177,0.011,940648.147
28,25,53,Mn,-54689.045,0.638,8734.155,0.012,941288.891
27,26,53,Fe,-50946.734,1.707,8648.784,0.032,945306.428
26,27,53,Co,-42658.627,1.763,8477.643,0.033,954204.077
25,28,53,Ni,-29630.824,25.15,8217.074,0.475,968190
33,21,54,Sc,-33598.989,363.283,8389.275,6.727,963930
32,22,54,Ti,-45597.053,124.717,8596.973,2.31,951049.547
31,23,54,V,-49892.107,15.011,8662.023,0.278,946438.617
30,24,54,Cr,-56933.697,0.57,8777.935,0.011,938879.158
29,25,54,Mn,-55556.524,1.155,8737.944,0.021,940357.615
28,26,54,Fe,-56253.867,0.494,8736.37,0.009,939608.986
27,27,54,Co,-48009.32,0.502,8569.205,0.009,948459.872
26,28,54,Ni,-39222.917,50.002,8392.006,0.926,957892.463
34,21,55,Sc,-29976.509,463.247,8317.63,8.423,967818.892
33,22,55,Ti,-41667.53,161.602,8515.97,2.938,955268.064
32,23,55,V,-49143.62,95.105,8637.674,1.729,947242.15
31,24,55,Cr,-55108.643,0.6,8731.905,0.011,940838.434
30,25,55,Mn,-57711.725,0.444,8765.009,0.008,938043.91
29,26,55,Fe,-57480.637,0.472,8746.583,0.009,938291.994
28,27,55,Co,-54029.258,0.535,8669.606,0.01,941997.202
27,28,55,Ni,-45335.224,0.787,8497.308,0.014,951330.632
26,29,55,Cu,-31635.399,155.559,8233.996,2.828,966038
34,22,56,Ti,-39205.322,135.683,8464.062,2.423,957911.353
33,23,56,V,-46123.102,177.701,8573.623,3.173,950484.81
32,24,56,Cr,-55281.245,1.863,8723.191,0.033,940653.139
31,25,56,Mn,-56910.845,0.46,8738.32,0.008,938903.691
30,26,56,Fe,-60606.422,0.456,8790.342,0.008,934936.326
29,27,56,Co,-56039.798,0.584,8694.825,0.01,939838.798
28,28,56,Ni,-53906.909,0.533,8642.767,0.01,942128.549
35,22,57,Ti,-33867.607,248.036,8363.527,4.352,963641.626
34,23,57,V,-44228.389,226.711,8531.57,3.977,952518.869
33,24,57,Cr,-52524.139,1.863,8663.384,0.033,943613.013
32,25,57,Mn,-57486.131,1.506,8736.711,0.026,938286.096
31,26,57,Fe,-60181.18,0.457,8770.267,0.008,935392.841
30,27,57,Co,-59344.948,0.619,8741.871,0.011,936290.574
29,28,57,Ni,-56083.219,0.663,8670.923,0.012,939792.184
28,29,57,Cu,-47308.253,0.614,8503.251,0.011,949212.498
35,23,58,V,-40319.499,128.029,8456.24,2.207,956715.235
34,24,58,Cr,-51834.726,202.917,8641.29,3.499,944353.129
33,25,58,Mn,-55827.56,2.701,8696.643,0.047,940066.645
32,26,58,Fe,-62154.467,0.492,8792.239,0.008,933274.431
31,27,58,Co,-59846.558,1.201,8738.959,0.021,935752.073
30,28,58,Ni,-60228.153,0.483,8732.049,0.008,935342.414
29,29,58,Cu,-51667.134,0.654,8570.957,0.011,944533.046
28,30,58,Zn,-42298.153,50.002,8395.934,0.862,954591.062
36,23,59,V,-37832.015,161.874,8407.555,2.744,959385.659
35,24,59,Cr,-47891.49,244.333,8564.795,4.141,948586.367
34,25,59,Mn,-55525.32,2.329,8680.921,0.039,940391.113
33,26,59,Fe,-60664.164,0.503,8754.76,0.009,934874.338
32,27,59,Co,-62229.119,0.518,8768.025,0.009,933194.288
31,28,59,Ni,-61156.118,0.483,8736.578,0.008,934346.202
30,29,59,Cu,-56357.732,0.625,8641.99,0.011,939497.482
29,30,59,Zn,-47214.955,0.83,8473.767,0.014,949312.657
37,23,60,V,-33241.956,220.159,8325.45,3.669,964313.29
36,24,60,Cr,-46503.876,213.397,8533.443,3.557,950076.033
35,25,60,Mn,-52967.938,2.329,8628.138,0.039,943136.576
34,26,60,Fe,-61412.375,3.427,8755.84,0.057,934071.1
33,27,60,Co,-61649.72,0.523,8746.757,0.009,933816.299
32,28,60,Ni,-64472.533,0.483,8780.764,0.008,930785.885
31,29,60,Cu,-58344.551,1.646,8665.592,0.027,937364.544
30,30,60,Zn,-54173.732,0.646,8583.039,0.011,941842.103
38,23,61,V,-30506.429,894.234,8276.439,14.66,967250
37,24,61,Cr,-42455.089,128.922,8459.494,2.113,954422.585
36,25,61,Mn,-51742.122,2.329,8598.915,0.038,944452.544
35,26,61,Fe,-58920.494,2.608,8703.768,0.043,936746.244
34,27,61,Co,-62897.623,0.887,8756.141,0.015,932476.62
33,28,61,Ni,-64221.322,0.484,8765.016,0.008,931055.57
32,29,61,Cu,-61983.834,0.963,8715.51,0.016,933457.612
31,30,61,Zn,-56348.691,15.9,8610.306,0.261,939507.188
30,31,61,Ga,-47134.542,37.994,8446.429,0.623,949398.984
38,24,62,Cr,-40894.961,148.099,8428.069,2.389,956097.451
36,26,62,Fe,-58878.048,2.794,8692.882,0.045,936791.812
35,27,62,Co,-61423.824,18.577,8721.325,0.3,934058.809
34,28,62,Ni,-66745.863,0.517,8794.546,0.008,928345.365
33,29,62,Cu,-62786.966,0.702,8718.074,0.011,932595.415
32,30,62,Zn,-61167.512,0.682,8679.335,0.011,934333.971
31,31,62,Ga,-51986.446,0.702,8518.635,0.011,944190.251
39,24,63,Cr,-35722.114,458.743,8340.298,7.282,961650.731
38,25,63,Mn,-46887.053,3.726,8505.101,0.059,949664.675
37,26,63,Fe,-55635.621,4.302,8631.549,0.068,940272.7
36,27,63,Co,-61850.999,18.577,8717.788,0.295,933600.217
35,28,63,Ni,-65512.321,0.518,8763.486,0.008,929669.626
34,29,63,Cu,-65579.298,0.518,8752.131,0.008,929597.723
33,30,63,Zn,-62213.111,1.571,8686.281,0.025,933211.474
